GeneSymbol,PhenotypeList,MIM_Number
TBC1D24,"Familial infantile myoclonic epilepsy|Caused by mutation in the TBC1 domain family, member 24;Developmental and epileptic encephalopathy, 1;Autosomal dominant nonsyndromic hearing loss 65",613577
TBC1D24,"Familial infantile myoclonic epilepsy|Caused by mutation in the TBC1 domain family, member 24;Developmental and epileptic encephalopathy, 1;Autosomal dominant nonsyndromic hearing loss 65|not provided|DOORS syndrome|Inborn genetic diseases",613577
TBC1D24,Familial infantile myoclonic epilepsy,613577
TSC1,Tuberous sclerosis 1|Tuberous sclerosis syndrome|not provided,605284
TSC1,Tuberous sclerosis 1|Tuberous sclerosis syndrome,605284
TSC1,"Tuberous sclerosis 1|Hereditary cancer-predisposing syndrome|Isolated focal cortical dysplasia type II|not provided|not specified|Tuberous sclerosis syndrome|Lung lymphangioleiomyomatosis|Familial cancer of breast|Hepatocellular carcinoma|Cervical cancer|Thyroid cancer, nonmedullary, 1|Nonpapillary renal cell carcinoma",605284
TSC1,Tuberous sclerosis 1|Tuberous sclerosis syndrome|not provided|Hereditary cancer-predisposing syndrome|TSC1-related disorder,605284
TSC1,Lymphangiomyomatosis|Sarcoma,605284
TSC1,Focal cortical dysplasia of Taylor type 2B|Tuberous sclerosis 1|Tuberous sclerosis syndrome|not provided|not specified|Hereditary cancer-predisposing syndrome|Isolated focal cortical dysplasia type II,605284
SCN9A,"Primary erythromelalgia|Neuropathy, hereditary sensory and autonomic, type 2A;Generalized epilepsy with febrile seizures plus, type 7",603415
SCN9A,"Primary erythromelalgia|Abnormality of pain sensation;Acute episodes of neuropathic symptoms|Generalized epilepsy with febrile seizures plus, type 7;Neuropathy, hereditary sensory and autonomic, type 2A|SCN9A-related peripheral neuropathies associated with increased pain|not provided",603415
SCN9A,Primary erythromelalgia,603415
SCN9A,"Channelopathy-associated congenital insensitivity to pain, autosomal recessive",603415
SCN9A,"Paroxysmal extreme pain disorder|Neuropathy, hereditary sensory and autonomic, type 2A;Generalized epilepsy with febrile seizures plus, type 7|not provided",603415
SCN9A,Paroxysmal extreme pain disorder,603415
SCN9A,"Paroxysmal extreme pain disorder|Generalized epilepsy with febrile seizures plus, type 7;Neuropathy, hereditary sensory and autonomic, type 2A|not provided",603415
SCN9A,"Paroxysmal extreme pain disorder|Neuropathy, hereditary sensory and autonomic, type 2A;Generalized epilepsy with febrile seizures plus, type 7",603415
SCN9A,"Channelopathy-associated congenital insensitivity to pain, autosomal recessive|Neuropathy, hereditary sensory and autonomic, type 2A;Generalized epilepsy with febrile seizures plus, type 7|Inborn genetic diseases",603415
SCN9A,"Channelopathy-associated congenital insensitivity to pain, autosomal recessive|not provided",603415
SCN9A,"Generalized epilepsy with febrile seizures plus, type 7|Neuropathy, hereditary sensory and autonomic, type 2A;Generalized epilepsy with febrile seizures plus, type 7|Channelopathy-associated congenital insensitivity to pain, autosomal recessive;Paroxysmal extreme pain disorder;Neuropathy, hereditary sensory and autonomic, type 2A;Primary erythromelalgia|Inborn genetic diseases",603415
SCN9A,"Generalized epilepsy with febrile seizures plus, type 7|Hypoglycemia;Seizure;Global developmental delay|not specified|not provided|Primary erythromelalgia|Channelopathy-associated congenital insensitivity to pain, autosomal recessive|Paroxysmal extreme pain disorder|Neuropathy, hereditary sensory and autonomic, type 2A;Generalized epilepsy with febrile seizures plus, type 7|Inborn genetic diseases|SCN9A-related disorder",603415
SCN9A,"Febrile seizures, familial, 3b|not provided|Generalized epilepsy with febrile seizures plus, type 7;Neuropathy, hereditary sensory and autonomic, type 2A|6 conditions|Inborn genetic diseases|not specified",603415
SCN9A,"Febrile seizures, familial, 3b",603415
SCN9A,"Primary erythromelalgia|Channelopathy-associated congenital insensitivity to pain, autosomal recessive|Paroxysmal extreme pain disorder|Inherited Erythromelalgia|Neuropathy, hereditary sensory and autonomic, type 2A;Generalized epilepsy with febrile seizures plus, type 7",603415
STXBP1,"Developmental and epileptic encephalopathy, 4|Developmental and epileptic encephalopathy",602926
STXBP1,"Developmental and epileptic encephalopathy, 4|Inborn genetic diseases",602926
STXBP1,"Developmental and epileptic encephalopathy, 4",602926
STXBP1,"Developmental and epileptic encephalopathy, 4|not provided|Developmental and epileptic encephalopathy|Inborn genetic diseases|Infantile epilepsy syndrome",602926
KCNQ2,"Seizures, benign familial neonatal, 1|Complex neurodevelopmental disorder",602235
KCNQ2,"Seizures, benign familial neonatal, 1|Developmental and epileptic encephalopathy|not provided|Inborn genetic diseases|Developmental and epileptic encephalopathy, 7|Complex neurodevelopmental disorder",602235
KCNQ2,"Seizures, benign familial neonatal, 1|not provided|Developmental and epileptic encephalopathy|Complex neurodevelopmental disorder|Neonatal/infantile epilepsy syndrome",602235
KCNQ2,"Seizures, benign familial neonatal, 1, and/or myokymia|not provided|Seizures, benign familial neonatal, 1|Inborn genetic diseases|Developmental and epileptic encephalopathy|Developmental and epileptic encephalopathy, 7|Complex neurodevelopmental disorder|Seizure|Developmental and epileptic encephalopathy, 7;Seizures, benign familial neonatal, 1",602235
